gene_symbol	GSM121470	GSM121471	GSM121472	GSM121473	GSM121490	GSM121491	GSM121492	GSM121493	GSM121494	GSM121495	GSM121496	GSM121497	GSM121498	GSM121499	GSM121474	GSM121475	GSM121476	GSM121477	GSM121478	GSM121479	GSM121480	GSM121481	GSM121482	GSM121483	GSM121484	GSM121485	GSM121486	GSM121487	GSM121488	GSM121489
ZNF585B	207.2236462	192.4844567	248.0376198	194.3899353	408.3692098	553.1634677	320.6534495	251.468931	404.6793663	351.6593499	247.0677496	194.6800813	249.0895353	195.9730878	200.8725737	121.8803378	231.1874733	186.1477533	285.1752561	257.0332608	229.9538715	208.4588008	228.8461987	216.6417612	250.2172421	186.4684723	157.8665984	190.028188	168.4073411	145.877205
ZNF577	75.56543634	44.90115727	58.77572931	48.49449745	47.47651576	57.7274779	76.43459829	54.98829489	68.03808225	36.54615111	44.34069996	54.14264815	73.36303743	64.72659997	66.84289954	41.89774162	50.81994526	47.74272239	51.43008212	52.96344338	42.68149683	52.44966345	29.10611056	58.52411873	64.8784914	64.57794788	54.70559464	29.34761527	65.71940858	49.47079597
ZNF555	34.53997496	29.46318805	57.90445487	39.81946631	54.66209076	56.80955084	82.82979777	35.70041956	48.39629237	57.22967554	50.25294907	27.72097042	87.19538786	34.22221851	1.745051484	17.36706782	46.80044068	23.81011288	62.25342582	62.88603497	55.41329075	27.45821429	32.50810473	22.4739547	41.48573993	30.80571115	51.19178687	32.9199865	58.8272417	24.88444127
ZNF514	61.53717934	36.46516385	77.83642921	69.38090895	27.24426166	30.38594859	57.72950819	42.05991863	83.24346317	58.46858382	37.29741188	31.42722619	41.62831258	50.0983625	31.48245273	37.55574541	47.18677618	29.1111206	49.4020882	45.55827173	71.80336197	50.35933322	48.42210208	25.35034366	57.80095977	64.00101165	36.75882148	48.06742614	55.67996835	46.39297969
ZNF511	0.63599086	0	0	0	0	2.689712681	0.207448384	1.094169616	11.18960926	9.786389535	2.001518328	0	3.361952588	15.02941631	1.40484439	5.972422656	10.99777376	6.656547276	2.167272069	6.75954586	1.252124559	0	12.41525716	6.68125086	0	2.781369304	0	5.251678522	0	0
ZNF438	249.7843976	210.4096768	240.2338631	215.648645	149.7991736	170.8701428	352.2801617	263.5057617	242.1950667	242.0504727	279.1376115	232.8117512	295.4201445	268.1335131	249.9054943	271.5045183	257.5080939	243.6040541	313.4578311	232.8873768	222.0295979	202.3840028	292.4863044	189.1861087	280.3037955	222.9496259	187.3005947	134.1674291	222.9600791	174.1635955
ZNF35	136.0159625	99.16697614	67.97294492	70.30246782	46.17534249	37.48706964	67.96780959	44.88507615	60.08869464	69.69105536	89.24341411	63.81606919	60.4772472	52.40098111	78.12842167	42.97888492	76.23732153	58.93299085	61.1118657	52.51176566	78.85035089	59.87707493	81.81969256	48.59104661	82.61860956	56.12247786	0	38.90810056	68.85076468	55.79428311
ZNF33B	111.1525682	87.26746562	123.7277404	107.7353577	71.14517193	78.75767621	113.7444314	87.66093293	122.4613183	132.7603596	133.3971655	117.8266849	95.53602526	101.596229	92.64912069	114.8460288	122.3027825	116.0662236	110.4788089	79.33647605	81.87857824	90.24946956	135.8487316	110.688992	133.7177171	96.16319379	119.0331662	114.2133932	111.3281022	81.2980499
ZNF282	41.79715729	30.62275737	27.27060006	16.20222347	17.91064414	13.65882462	26.44146751	26.89302957	24.73215838	31.09429744	14.02114415	7.407837828	26.08494366	9.324172602	20.87826179	11.65782423	16.27320526	12.24966233	13.56464999	11.48979613	21.96162674	12.05070197	25.23915794	17.25833375	23.1633187	11.91306225	12.30418352	10.7698208	24.80630207	12.74826584
ZNF280D	55.56716959	35.70359518	51.02032303	42.51451834	61.83892914	55.39480157	79.77885921	52.33874483	76.45411435	90.30556898	87.09701062	41.73744086	78.17810783	43.19050666	31.33756669	14.03652289	70.3722909	40.4575386	90.53079425	55.90390441	50.40957771	48.47396859	66.43130042	52.00170461	75.27676063	55.60994381	55.44642244	56.51813381	86.95735384	27.93476413
ZNF280D	9.559104664	1.85834909	31.27401428	15.5156476	18.42319225	24.53824063	25.66860167	23.48219219	28.7545025	56.75317235	24.81742515	8.391654776	31.16900723	17.32001805	15.77515537	13.72199181	17.68258949	18.71640714	27.85693066	21.71177064	25.48990639	23.58699607	27.28093203	26.49974406	29.16613889	21.0112124	17.99801619	18.16345797	24.61818918	10.14507285
ZNF276/ FANCA	70.23141745	9.370737944	90.03040343	71.21145559	52.91884475	50.82962877	129.857864	96.36990555	49.15541124	63.55237986	38.40040855	44.12337222	87.05210971	93.85643553	110.8515757	188.2115512	37.61319393	40.73753088	48.17461819	54.36533649	77.55755222	80.78835259	58.44325639	41.45061318	66.2792389	59.89268902	61.27055881	49.39681674	84.33969062	138.3005966
ZNF273	1078.939252	841.9779699	766.7244136	721.8532962	757.9858455	718.0892173	692.5669123	556.2356938	636.0364503	656.5162285	734.7675435	587.8493214	573.9990973	543.5381615	756.5334628	631.5692531	772.8244657	698.6857401	869.965137	611.9725492	776.2231178	611.7114965	756.3155758	606.4632197	1048.955932	739.8227674	717.3277502	408.349849	763.964068	670.3692232
ZNF273	1284.054407	1047.269338	194.3077396	151.3319583	535.5620997	528.1610215	240.4008361	171.3021916	172.4284281	152.596037	267.4287877	233.5244927	233.0627182	212.5683957	188.4783983	192.3059573	300.6982495	320.4996267	297.5684076	227.6481755	167.8915601	161.6795868	372.1154939	272.8078763	248.2932268	199.6923873	220.9409118	168.4548724	261.4364002	193.9009787
ZNF263	32.87404349	37.53156254	22.41235054	21.47628654	45.11238761	32.64814955	28.69445344	16.57753807	45.57342178	26.46400098	12.68796703	14.92433952	30.00337011	15.35572076	30.59571348	17.05345373	20.39905307	21.28210565	35.4222071	13.77812304	42.06021974	20.98943576	43.48083551	10.96839886	42.79525099	20.01297855	19.00970001	40.84508709	29.8723269	12.76273606
ZNF24	77.77925166	66.57649545	107.3379173	82.46066273	30.54844963	32.77337437	113.79364	75.64532955	65.38609556	76.30952028	127.9055507	82.46419091	100.3437007	76.71112439	92.49323065	44.46167433	115.817192	67.67736519	97.92815591	93.47125527	79.58886512	70.68921037	93.30214487	83.54668111	127.2573731	91.90728283	100.932664	103.2913074	116.1437922	80.03624651
ZNF22	38.79848064	32.97835409	54.72976674	33.8859036	46.89989914	50.93330328	67.90798727	38.08173404	50.00325828	63.13174256	17.77180021	14.63924292	58.75606058	36.27802894	18.78658421	2.881214799	33.9517564	3.102799084	54.26510829	34.9028428	43.0850478	33.28418238	27.88595561	13.03760839	26.42904609	22.2590047	30.43835976	44.34718217	53.30974594	19.69686658
ZNF197	97.36939051	66.81853656	98.57972349	86.43893473	99.01672259	82.52141015	142.5392319	65.98112949	116.5723962	53.44065367	95.29003252	65.56287006	119.3525522	93.8536624	99.1579885	76.13394611	58.95587483	80.47758926	89.91380508	63.17500457	76.81903799	70.1341284	111.7878534	61.26044256	94.95296943	50.49802049	96.78490671	75.70791647	89.73853056	94.91018801
ZNF195	485.9375261	366.6669599	172.7821356	152.2593193	202.8123738	214.9760723	173.9314792	123.9557162	221.5674082	177.9361477	204.6970204	161.4838541	183.6520908	54.94023977	167.1718974	156.7896205	238.2626629	193.7425439	173.3414139	162.7901182	127.9527744	158.640194	231.7760145	181.1749612	182.4728535	126.7421556	180.1924544	145.4570006	191.6797996	0
ZNF14	159.6681385	0	1.556883306	0	1.362912012	0	5.359887316	6.858340061	12.8918758	12.43180376	7.463922404	9.366124295	6.167431308	1.193368378	4.077900131	1.962380544	18.42295369	5.521770865	7.412981643	0	2.88227908	0.599743738	6.941165525	0	2.3064032	5.572130592	8.140321322	4.912010438	8.440480662	0
ZNF12	106.1233794	59.79529354	87.45235939	65.80394538	84.03575683	80.31570597	91.12194387	69.59941526	124.0025597	109.2079574	98.48451653	85.21350359	81.93754175	74.32346326	74.89966377	67.4380327	90.38635458	70.41805887	79.83761704	56.00543427	71.70367052	69.29353013	106.7296253	56.4303617	112.2731317	98.98078932	86.90525054	47.32806242	101.942716	80.50074065
ZMYM3	14.67336238	0	60.4476866	71.42419741	25.43985935	28.15694676	53.2766045	43.68669991	54.65655834	52.86227739	28.93613625	14.68013793	23.67879502	27.13965575	37.62360343	42.96146191	26.2317769	17.87239195	26.620349	22.10357178	37.7312184	51.02287948	40.40806658	41.20947013	31.90859854	50.94615235	42.81574761	25.3111286	46.74894716	30.35997339
ZMYM2	63.69225665	67.13248109	73.75662134	54.37390769	53.83444205	45.13568525	82.44577704	50.67819289	101.8040837	49.47088921	79.06289502	67.53400924	60.92834229	60.47909595	67.16201562	56.45878866	50.51976123	73.22875062	75.03447354	63.68395555	57.89201886	63.69485854	78.88410082	75.35070534	82.37173452	68.99888944	70.4284203	77.08415784	65.04075515	46.41613204
ZMIZ2	52.44696603	15.14833007	53.20769573	2.698920066	68.30344214	50.73876797	45.64443373	57.28566513	143.3190129	67.98550259	92.80945844	39.6856801	96.59998111	37.43442231	38.2114006	189.9382627	54.22831284	31.50317005	66.88735289	50.82610961	68.07569943	54.62692463	56.83034149	26.42176966	66.13165056	23.45447023	53.32642509	44.67806573	67.6280309	48.32764841
ZMIZ2	46.23896607	23.73927031	62.951271	55.03437434	34.13628638	36.45090704	49.40745092	40.61453407	58.20239928	55.7903073	42.84978496	33.8844317	66.58182099	50.22222877	59.62519053	90.00449196	46.02373132	44.81761072	61.76399982	43.25172151	47.6453333	51.18557592	40.27233337	40.67231316	60.84798808	55.12961086	71.2570933	65.43002875	58.88512259	44.97634492
ZMIZ1	23.58432349	20.26562596	21.57878942	25.65376224	24.79626201	32.43963566	36.23592586	15.66283543	56.04663315	51.35389834	17.09177472	28.70712423	24.1603945	24.32770641	20.33264664	20.39408566	18.47276001	24.15606489	26.29102778	22.9522573	27.33220431	21.61230791	26.65424889	27.51341126	25.76624028	42.01839965	26.29792295	7.216482697	18.73749084	24.21736403
ZKSCAN5	156.4365353	123.2282928	118.6548151	100.2159015	53.36149993	59.73981166	142.5189695	105.5651758	209.8454299	187.4234904	173.4917956	141.0340153	178.3489503	111.1635123	100.0511467	96.9920339	149.8174086	136.7843063	170.0260734	132.2127079	175.4465767	129.6594919	161.4185587	140.307712	116.8376364	102.4061805	142.4556231	92.58151417	130.2985636	110.4758061
ZKSCAN5	44.29656086	15.20402991	68.93995318	67.91975946	20.82343174	15.97926968	77.06948683	44.07940452	42.41206962	29.11270144	33.90078971	29.53904545	54.14250398	54.27838713	52.82013165	45.29522756	28.59555789	36.53495442	34.16219547	37.69751736	59.60431913	59.02770381	15.72050532	31.21286332	56.82687674	39.98570573	22.4664084	22.78411518	51.2043286	38.33885396
ZHX2	41.64221047	24.56767878	25.32594644	19.73663867	37.79168629	30.09414563	32.58000992	29.84265613	38.25499012	52.48107484	28.76204037	20.91019965	39.93023534	17.70918001	37.44662238	19.40372538	15.94744501	24.57470719	28.7160295	22.05671184	41.78427382	25.37825197	36.27975532	6.32170224	45.61418824	20.94010165	54.60164449	9.85623078	25.79172421	23.71524731
ZFYVE19	953.1690217	785.9834307	496.2164228	380.4655336	271.0913535	299.3129512	16.68753396	355.0252345	419.3622369	374.6629519	367.1378175	302.508522	529.4211035	414.6321917	623.5574219	373.7968137	259.4976544	251.5784496	349.7560587	287.5651128	691.1623886	552.3791356	282.1546965	245.4287543	543.9582848	353.4727263	427.2438861	313.8752709	483.8003061	404.7451407
ZFP36L2	64.22191146	55.37475198	99.05162352	79.59638425	111.8193589	110.5030422	9.15667518	93.35563228	66.94705427	105.6423991	173.1015404	128.7526615	183.9127646	155.1073848	172.3786248	96.20799868	162.3497555	157.6423852	147.6634703	122.6949341	135.4384056	82.13059822	160.1435329	117.5680668	102.4383816	77.40874125	149.9224646	96.77026584	146.0609768	87.16572504
ZFAND6	28.07170486	20.77705173	87.87881004	40.61724813	34.22190522	46.86204047	70.85664895	88.03144539	49.48403412	95.88558558	45.15158946	22.94209712	65.61584891	59.11564253	41.72076057	0	37.4422371	27.39078341	33.26925335	40.32688047	57.24601829	35.16316675	26.42610157	15.63242313	135.9060496	146.8020941	48.67355798	36.46600417	21.32187255	37.58061431
ZFAND2B	50.09339475	33.43002913	67.42465123	52.2687307	63.4878197	70.66990005	51.39316615	38.03927948	47.91650296	61.38018258	51.14446016	34.3529716	57.78823975	47.73658387	52.36346552	56.2561316	49.61920913	49.70939895	65.26678008	43.61228269	60.4297643	50.64165939	63.65021351	54.78712343	68.73457215	47.32889638	29.65507345	26.11051987	51.70355127	46.38863862
ZDHHC20	32.69884218	26.75313782	139.0770626	59.88972283	69.77585307	66.33653878	89.3610448	53.10292679	46.48699341	30.6112218	81.97695615	36.26685778	141.3767156	60.19993464	79.13070294	112.4709982	39.17603546	53.58217681	97.4426349	43.19444826	126.1966098	32.29763584	81.79370109	31.04969467	46.12001372	12.85494419	61.89865195	53.67487769	130.8932898	49.69074335
ZDHHC20	87.12669694	39.37472077	77.72522326	66.55240978	37.59482123	68.21432866	108.7560214	64.99792064	51.83040153	21.67925177	77.63507518	76.38836178	85.34016685	78.69390919	79.17655296	53.3859208	69.70865534	76.9992236	83.90922487	70.31984325	63.91657231	57.58895686	61.20701566	58.64541224	84.69021313	78.65519184	56.76117218	63.87077656	97.41932455	97.04743984
ZDHHC17	62.12759761	17.22238944	79.13802234	58.20422743	36.22084283	23.64477609	140.6702667	75.2420113	67.09164834	76.31609274	31.15030859	56.90364512	69.49545161	83.92217529	95.52116549	36.91476224	25.29353353	43.47553233	66.12197392	52.76168532	63.67970544	36.15609355	39.51424893	31.23307891	131.611229	38.56080742	38.70020027	42.55367612	47.7285812	51.40691171
ZCCHC7	216.6429949	150.9364296	115.4598198	128.1450342	83.23315309	81.84869076	153.2599714	113.0333176	186.2338755	156.3193343	155.8263224	137.4656341	159.4168219	110.3731715	140.9209311	114.3957817	183.6897441	176.3884069	144.6214794	123.25465	151.5533285	118.9055763	192.7570474	121.164997	194.9561434	156.3725269	157.8622061	98.1157614	181.0543153	5.40752207
